Time,P (deg/s),Q (deg/s),R (deg/s),Pitch deflection (deg),Roll deflection (deg),Yaw deflection ,P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),F_{Drag} (lbs),F_{Side} (lbs),F_{Lift} (lbs),L/D,F_{Aero x} (lbs),F_{Aero y} (lbs),F_{Aero z} (lbs),F_{Gear x} (lbs),F_{Gear y} (lbs),F_{Gear z} (lbs),F_{Total x} (lbs),F_{Total y} (lbs),F_{Total z} (lbs),L_{Aero} (ft-lbs),M_{Aero} ( ft-lbs),N_{Aero} (ft-lbs),L_{Prop} (ft-lbs),L_{Gear} (ft-lbs),M_{Gear} (ft-lbs),N_{Gear} (ft-lbs),L_{Total} (ft-lbs),M_{Total} (ft-lbs),N_{Total} (ft-lbs),Temperature (R),P_{Ambient} (psf),Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Alpha (deg),Beta (deg),X_{ECI} (ft),Earth Position Angle (deg),Distance AGL (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/delta-lon-rad,guidance/heading-to-waypoint-rad,guidance/wp-distance-a,guidance/wp-distance,guidance/heading-to-waypoint-positive,guidance/wp-heading-rad,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/x1,guidance/y1,guidance/x2,guidance/y2,guidance/angle-to-heading-rad,guidance/x1y2,guidance/x2y1,guidance/angle-to-heading-sense,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/elevator-actuator,Nose Gear WOW,Nose Gear stroke (ft),Nose Gear stroke velocity (ft/sec),Nose Gear compress force (lbs),Nose Gear wheel side force (lbs),Nose Gear wheel roll force (lbs),Nose Gear body X force (lbs),Nose Gear body Y force (lbs),Nose Gear wheel velocity vec X (ft/sec),Nose Gear wheel velocity vec Y (ft/sec),Nose Gear wheel rolling velocity (ft/sec),Nose Gear wheel side velocity (ft/sec),Nose Gear wheel slip (deg),Left Main Gear WOW,Left Main Gear stroke (ft),Left Main Gear stroke velocity (ft/sec),Left Main Gear compress force (lbs),Left Main Gear wheel side force (lbs),Left Main Gear wheel roll force (lbs),Left Main Gear body X force (lbs),Left Main Gear body Y force (lbs),Left Main Gear wheel velocity vec X (ft/sec),Left Main Gear wheel velocity vec Y (ft/sec),Left Main Gear wheel rolling velocity (ft/sec),Left Main Gear wheel side velocity (ft/sec),Left Main Gear wheel slip (deg),Right Main Gear WOW,Right Main Gear stroke (ft),Right Main Gear stroke velocity (ft/sec),Right Main Gear compress force (lbs),Right Main Gear wheel side force (lbs),Right Main Gear wheel roll force (lbs),Right Main Gear body X force (lbs),Right Main Gear body Y force (lbs),Right Main Gear wheel velocity vec X (ft/sec),Right Main Gear wheel velocity vec Y (ft/sec),Right Main Gear wheel rolling velocity (ft/sec),Right Main Gear wheel side velocity (ft/sec),Right Main Gear wheel slip (deg), Total Gear Force_X (lbs), Total Gear Force_Y (lbs), Total Gear Force_Z (lbs), Total Gear Moment_L (ft-lbs), Total Gear Moment_M (ft-lbs), Total Gear Moment_N (ft-lbs),IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),vrp-gc-latitude deg,vrp-longitude deg,vrp-radius-ft
0,0,0,0,-0.056417592,4.625387688,-0.003473134,0.002954345,0,-0.002954345,3.59E-32,1.71E-10,5.50E-15,1078.990358,3.81E-15,1.07E-15,3.81E-15,3.81E-15,1.07E-15,3.81E-15,1074.611169,-97.11348179,0,1.55E-15,5.27E-15,-2.69E-31,3.81E-15,1.07E-15,3.81E-15,-2.17E-31,0,-1.80E-30,8.281540697,-2.17E-31,0,-1.80E-30,6.51E-06,5.36E-08,-31.18634596,6.51E-06,5.36E-08,-31.18634596,-6.47E-32,3.78E-30,7.81E-33,1.50E-31,-1.121842369,136.2821907,-1.61E-15,-1.121842369,136.2821907,-1.61E-15,518.6536278,2115.868247,4.600000001,4.600000001,7.54E-16,4.44E-15,3.25E-16,0,0,-1331760.152,0,4.600000001,0.003,0.999465398,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.9999955,0.002999996,0.063771741,0.997964511,1.50398128,0.99796002,0.000191315,1,1,0.523,-1.32E-17,-3.95E-16,0.348,-3.95E-16,-9.86E-16,-2.90E-16,-1,6.58E-16,3.25E-16,-3.25E-16,0,-3.25E-16,-5.66E-18,-1.18E-20,-1.32E-17,-4.6,-0.019086377,-0.002289487,-0.002289487,0.002,1,0.017326,3.81E-15,-31.18634596,5.36E-08,-0.686093099,6.51E-06,5.36E-08,3.81E-15,1.07E-15,3.81E-15,1.07E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51E-06,5.36E-08,-31.1863,-1.12184,136.282,-1.61E-15,-825,-1.5,1.29953,29.9154,1.50E-31,45.00000069,-95.16383886,20925654.86
0.008333,0.0005,0.0385,0.0008,0.1375,23.96327978,-0.086573456,0.002484217,0.038543356,-0.002983286,8.26E-05,8217.593821,0.263714279,1078.99039,-0.000975276,1.13E-07,0.263712475,-0.000975276,1.13E-07,0.263712475,1074.627949,-96.92779957,-0.187162504,0.016721354,0.185029226,-0.187162504,-0.000975276,1.13E-07,0.263712475,-0.000499569,1.94E-07,-0.004487677,8.983104865,-0.000499569,1.94E-07,-0.004487677,3.37E-05,2.78E-07,-161.5691111,-0.000465828,4.72E-07,-161.5735988,-2.62E-05,0.003316197,2.85E-05,-9.83E-09,-5.812001015,706.0459226,4.75E-13,-5.812027236,706.0492388,2.85E-05,518.6536278,2115.868247,4.600001931,4.600001931,6.84E-15,-5.29E-12,360,0,0,-1331751.197,3.48E-05,4.600001931,6.28618531,0.999465398,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.9999955,0.002999996,0.063771741,0.997964511,1.50398128,0.99796002,0.000191315,1,1,0.523,-1.19E-16,-4.86E-15,0.348,8.21E-06,2.05E-05,6.03E-06,-1,2.23E-13,360.026518,-360.026518,360,-0.026518101,-0.000462741,-9.62E-07,-9.62E-07,-4.60000193,-0.057100751,-0.006849463,0.256863012,0.002,1,0.017324,0.260772,-161.5691111,-0.651946984,-3.554486704,3.37E-05,2.78E-07,0.0021192,3.56E-05,0.0021192,3.56E-05,0.963742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37E-05,2.78E-07,-161.569,-5.812,706.046,4.75E-13,-825,-1.5,1.29953,29.9154,-9.83E-09,45.00000069,-95.16383886,20925654.86
0.016666,0.0016,0.2382,0.0008,0.3101,41.88807301,-0.120519354,0.001338367,0.238229366,-0.003704719,0.000303743,15754.43784,0.505582277,1078.990367,-0.002434116,-0.00010879,0.505576406,-0.002434116,-0.00010879,0.505576406,1074.643199,-96.75783259,-0.35921569,0.031913081,0.35434317,-0.35921569,-0.002431282,-0.000108755,0.505576419,-0.001836153,-3.21E-06,-0.01936049,10.54405024,-0.001836153,-3.21E-06,-0.01936049,0.001642169,1.98E-05,-282.4259076,-0.000193984,1.66E-05,-282.4452681,0.000124118,-0.031861797,0.000210543,-6.12E-08,-10.15957808,1234.189101,2.74E-05,-10.15945403,1234.157239,0.00023798,518.6536428,2115.868569,4.595788416,4.595788416,-3.92E-06,0.000321182,359.9999998,0,0,-1331742.242,6.96E-05,4.595788416,6.2861853,0.99946555,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.9999955,0.002999991,0.063771741,0.997964511,1.50398129,0.99796002,0.000191315,1,1,0.523,6.84E-08,2.87E-06,0.348,3.11E-05,7.77E-05,3.14E-05,-1,-0.000142911,360.026518,-360.026518,360,-0.02651786,-0.000462737,-2.88E-06,-2.81E-06,-4.59578842,-0.094782191,-0.011369507,0.494206912,0.002,1,0.021513,0.487406,-282.4259076,-0.84675232,-6.211727798,0.001642169,1.98E-05,0.0166752,-3.64E-05,0.0166752,-3.64E-05,-0.12493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164217,1.98E-05,-282.426,-10.1596,1234.19,2.74E-05,-825,-1.5,1.29953,29.9154,-6.12E-08,45.00000069,-95.16383886,20925654.85
0.024999,0.0042,0.5873,0.0018,0.5255,58.22038328,-0.125599275,-0.001245442,0.587282677,-0.004709109,0.000641038,22887.15022,0.734481053,1078.990394,-0.004202363,-0.00021393,0.734469,-0.004202363,-0.00021393,0.734469,1074.65761,-96.5972018,-0.522298743,0.046265018,0.5143209,-0.522298743,-0.004172798,-0.000213707,0.734469168,-0.003875103,-1.02E-05,-0.046971073,12.12124606,-0.003875103,-1.02E-05,-0.046971073,0.015883336,0.000119779,-392.5476268,0.012008233,0.000109611,-392.5945979,0.00143922,-0.161167561,0.000652126,-1.83E-07,-14.12135978,1715.478718,-4.79E-05,-14.11992075,1715.31755,0.000604192,518.6536611,2115.868962,4.590643585,4.590643585,-1.74E-05,0.002306347,359.9999935,0,0,-1331733.287,0.000104448,4.590643585,6.28618519,0.999465736,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.9999955,0.002999882,0.063771741,0.997964511,1.50398139,0.99796002,0.000191308,1,1,0.523,3.03E-07,1.19E-05,0.348,8.52E-05,0.000213063,9.84E-05,-1,-0.000494666,360.026512,-360.026512,360,-0.026511606,-0.000462628,-4.79E-06,-4.49E-06,-4.59064358,-0.132112105,-0.015847388,0.71862178,0.002,1,0.026506,0.689673,-392.5476268,-0.778615504,-8.620164454,0.015883336,0.000119779,0.0428547,-1.13E-05,0.0428547,-1.13E-05,-0.0147604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158833,0.000119779,-392.548,-14.1214,1715.48,-4.79E-05,-825,-1.5,1.29953,29.9154,-1.83E-07,45.00000069,-95.16383886,20925654.85
0.033332,0.0086,1.0724,0.0028,0.3757,73.36011309,-0.285728881,-0.005625044,1.072433129,-0.005755981,0.001076219,29655.16254,0.95167599,1078.990481,-0.006291618,-0.000297058,0.951655146,-0.006291618,-0.000297058,0.951655146,1074.67128,-96.44499829,-0.677286643,0.059877939,0.665871328,-0.677286643,-0.006172027,-0.000296185,0.95165593,-0.006505728,-1.68E-05,-0.089086557,13.69355744,-0.006505728,-1.68E-05,-0.089086557,0.062259863,0.000453066,-494.6142622,0.055754135,0.000436315,-494.7033487,0.005237017,-0.42774249,0.00142076,-4.09E-07,-17.79445037,2161.715301,-0.000259759,-17.78921376,2161.287558,0.001161001,518.6536861,2115.8695,4.583614606,4.583614606,-5.24E-05,0.007200173,359.9999789,0,0,-1331724.332,0.000139264,4.583614606,6.28618494,0.999465989,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995501,0.002999627,0.063771741,0.997964511,1.50398165,0.997960021,0.000191291,1,1,0.523,9.14E-07,3.48E-05,0.348,0.000184504,0.00046126,0.000238856,-1,-0.001291931,360.026497,-360.026497,360,-0.026496977,-0.000462372,-6.70E-06,-5.78E-06,-4.58361461,-0.169081728,-0.020282057,0.931373872,0.002,1,0.033162,0.869846,-494.6142622,-2.192537432,-10.81925391,0.062259863,0.000453066,0.0795142,0.00017569,0.0795142,0.00017569,0.126997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622599,0.000453066,-494.614,-17.7945,2161.72,-0.000259759,-825,-1.5,1.29953,29.9154,-4.09E-07,45.00000069,-95.16383886,20925654.84
0.041665,0.0117,1.6837,0.0052,0.6536,87.02809937,-0.251029584,-0.00875657,1.683742946,-0.00813742,0.001593223,36081.80785,1.157915858,1078.990359,-0.008738633,-0.000621775,1.157882716,-0.008738633,-0.000621775,1.157882716,1074.683999,-96.30065973,-0.824696984,0.072538513,0.809556782,-0.824696984,-0.008412527,-0.000619265,1.157885132,-0.024285355,-3.22E-06,-2.373951077,97.75237485,2.37406675,9.82E-06,-0.006368774,0.166010123,0.001274572,-589.0048884,2.540076873,0.001284392,-589.0112572,0.012505766,-10.58900486,-0.083406053,-7.89E-07,-21.1936464,2574.670027,-0.000401963,-21.18114142,2564.081022,-0.083808016,518.6537174,2115.870172,4.574820191,4.574820191,-0.000123886,0.016136758,359.9999555,90.43240758,-0.030766573,-1331715.377,0.000174079,4.574820191,6.28618453,0.999466307,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995502,0.002999219,0.063771741,0.997964511,1.50398206,0.997960022,0.000191265,1,1,0.523,2.16E-06,7.98E-05,0.348,0.000284251,0.000710628,0.00044302,-1,-0.002654015,360.026474,-360.026474,360,-0.026473611,-0.000461965,-8.59E-06,-6.43E-06,-4.57482019,-0.205678906,-0.024672059,1.13321307,0.002,1,0.041275,1.02942,-589.0048884,-1.742736002,-12.79209742,0.166010124,0.001274572,0.12574,-8.18E-05,0.12574,-8.18E-05,-0.0361597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16601,0.00127457,-589.005,-21.1936,2574.67,-0.000401963,-825,-1.5,1.29953,29.9154,-7.89E-07,45.00000069,-95.16383886,20925654.83
0.049998,0.0172,2.4089,0.0073,1.0609,99.87567304,-0.150394531,-0.014204046,2.408948091,-0.010229973,0.002178691,42193.72351,1.354055471,1078.990418,-0.011189431,-0.000793191,1.354009005,-0.011189431,-0.000793191,1.354009005,1074.696239,-96.16332327,-0.964841001,0.084721334,0.946240115,-0.964841001,-0.010476518,-0.000787941,1.354014712,-0.033208481,-9.85E-06,-3.248751815,97.82897831,3.248915311,9.60E-06,-0.006360817,0.356226709,0.002615679,-676.2994756,3.60514202,0.002625284,-676.3058364,0.021662042,-14.51777899,-0.113477512,-1.29E-06,-24.33993895,2957.008389,-0.001383929,-24.3182782,2942.49061,-0.114861441,518.6537547,2115.870973,4.564350329,4.564350329,-0.000221501,0.030167388,359.9999123,90.47347735,-0.03356325,-1331706.421,0.000208895,4.564350329,6.28618378,0.999466685,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995505,0.002998464,0.063771741,0.997964511,1.50398281,0.997960025,0.000191217,1,1,0.523,3.87E-06,0.000136423,0.348,0.00043592,0.0010898,0.00071195,-1,-0.00366897,360.02643,-360.02643,360,-0.026430365,-0.00046121,-1.05E-05,-6.61E-06,-4.56435033,-0.241892454,-0.029016054,1.32499866,0.002,1,0.050674,1.17017,-676.2994756,-0.68651194,-14.52236175,0.356226709,0.002615679,0.180816,1.95E-05,0.180816,1.95E-05,0.00758161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356227,0.00261568,-676.299,-24.3399,2957.01,-0.00138393,-825,-1.5,1.29953,29.9154,-1.29E-06,45.00000069,-95.16383886,20925654.82
0.058331,0.0260,3.2412,0.0085,0.3445,111.7116313,-0.54619871,-0.023045598,3.241212064,-0.011484247,0.002821215,48014.03465,1.540836933,1078.990651,-0.014083765,-0.000814604,1.540772351,-0.014083765,-0.000814604,1.540772351,1074.708022,-96.03272758,-1.098502273,0.09644745,1.076182651,-1.098502273,-0.012732699,-0.000804768,1.540784113,-0.042990977,-2.73E-06,-4.239655291,98.617329,4.239871137,2.00E-05,-0.004237303,0.663811383,0.004816657,-756.8400765,4.90368252,0.004836651,-756.8443138,0.038913445,-19.34707863,-0.147266845,-2.05E-06,-27.2471636,3310.362848,-0.002830314,-27.2082522,3291.015769,-0.150097159,518.6537976,2115.871895,4.552285217,4.552285217,-0.000364541,0.050241151,359.9998515,90.52370996,-0.030290925,-1331697.466,0.000243711,4.552285217,6.28618272,0.999467121,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995508,0.002997404,0.063771741,0.997964511,1.50398387,0.997960028,0.00019115,1,1,0.523,6.36E-06,0.000220833,0.348,0.000674663,0.001686657,0.00110975,-1,-0.005411251,360.02637,-360.02637,360,-0.026369613,-0.00046015,-1.23E-05,-5.98E-06,-4.55228522,-0.277711984,-0.033312796,1.50747132,0.002,1,0.061207,1.29334,-756.8400765,-4.352257094,-15.9866703,0.663811383,0.004816657,0.24366,0.000602328,0.24366,0.000602328,0.142905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663811,0.00481666,-756.84,-27.2472,3310.36,-0.00283031,-825,-1.5,1.29953,29.9154,-2.05E-06,45.00000069,-95.16383886,20925654.81
0.066664,0.0289,4.1721,0.0131,0.9976,122.6118978,-0.323730825,-0.025917922,4.172105073,-0.016037114,0.003511356,53565.79858,1.719000174,1078.990229,-0.017378902,-0.00151248,1.718911657,-0.017378902,-0.00151248,1.718911657,1074.718582,-95.90819281,-1.226119536,0.106949705,1.200064266,-1.226119536,-0.015061336,-0.001494983,1.718933541,-0.053535225,-2.12E-05,-5.31800747,99.33660514,5.318276922,2.59E-05,0.000232003,1.120647902,0.008432965,-831.0454032,6.438924824,0.008458857,-831.0451712,0.046345161,-24.76541283,-0.18387349,-3.12E-06,-29.93287315,3636.703448,-0.003460723,-29.88653111,3611.938036,-0.187334214,518.653846,2115.872934,4.538700189,4.538700189,-0.000581306,0.07725017,359.9997802,90.5792641,-0.050412287,-1331688.51,0.000278527,4.538700189,6.28618147,0.999467612,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995512,0.002996159,0.063771741,0.997964511,1.50398512,0.997960032,0.00019107,1,1,0.523,1.01E-05,0.000349772,0.348,0.000853757,0.002134393,0.001580781,-1,-0.008225423,360.026298,-360.026298,360,-0.026298277,-0.000458905,-1.42E-05,-4.06E-06,-4.53870019,-0.313127841,-0.037561129,1.68137241,0.002,1,0.072729,1.40027,-831.0454032,-2.149298772,-17.16235097,1.120647902,0.008432965,0.313553,-0.000220191,0.313553,-0.000220191,-0.0374131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12065,0.00843297,-831.045,-29.9329,3636.7,-0.00346072,-825,-1.5,1.29953,29.9154,-3.12E-06,45.00000069,-95.16383886,20925654.8
0.074997,0.0372,5.1938,0.0158,1.1304,132.6392754,-0.328594013,-0.034232406,5.193829999,-0.018736558,0.004241234,58870.30976,1.889228556,1078.990396,-0.021132541,-0.001638842,1.889109649,-0.021132541,-0.001638842,1.889109649,1074.729204,-95.78933284,-1.348160299,0.117515019,1.318271052,-1.348160299,-0.017439201,-0.001611636,1.889147377,-0.064649686,-3.99E-05,-6.4744103,100.1460441,6.4747284,1.62E-05,0.007775862,1.758355908,0.012905225,-899.2927402,8.233084308,0.012921417,-899.2849643,0.06633937,-30.75644084,-0.222571618,-4.62E-06,-32.40804628,3937.815917,-0.006857031,-32.34171153,3907.059476,-0.229428649,518.6538995,2115.874084,4.523663986,4.523663986,-0.00082212,0.112016318,359.9996707,90.64091298,-0.049702174,-1331679.554,0.000313343,4.523663986,6.28617956,0.999468155,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995517,0.002994248,0.063771741,0.997964511,1.50398703,0.997960037,0.000190948,1,1,0.523,1.43E-05,0.000480899,0.348,0.001130031,0.002825077,0.002109563,-1,-0.009291892,360.026189,-360.026189,360,-0.026188784,-0.000456994,-1.61E-05,-1.70E-06,-4.52366399,-0.348131046,-0.041759977,1.8473874,0.002,1,0.085109,1.49219,-899.2927402,-2.111385305,-18.02608438,1.758355908,0.012905225,0.38972,9.90E-05,0.38972,9.90E-05,0.0175757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75836,0.0129052,-899.293,-32.408,3937.82,-0.00685703,-825,-1.5,1.29953,29.9154,-4.62E-06,45.00000069,-95.16383886,20925654.78
0.08333,0.0466,6.2991,0.0185,0.7103,141.8517954,-0.578178343,-0.043653915,6.299113058,-0.021476968,0.005004363,63947.66328,2.05216695,1078.990459,-0.025405835,-0.001886103,2.052008815,-0.025405835,-0.001886103,2.052008815,1074.739244,-95.67561585,-1.465064512,0.127497981,1.431334843,-1.465064512,-0.019843927,-0.001845388,2.052070176,-0.076274415,-4.12E-05,-7.70081545,100.9619735,7.701169575,2.89E-05,0.019067592,2.60747928,0.019012886,-961.9382992,10.30864885,0.019041829,-961.9192317,0.091556429,-37.30139656,-0.263381417,-6.67E-06,-34.68897806,4215.386864,-0.010711833,-34.5974283,4178.085467,-0.27409325,518.6539579,2115.87534,4.507240076,4.507240076,-0.001132363,0.155296498,359.9995384,90.70934041,-0.052659334,-1331670.599,0.000348159,4.507240076,6.28617725,0.999468748,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995524,0.002991939,0.063771741,0.997964511,1.50398934,0.997960044,0.000190801,1,1,0.523,1.98E-05,0.000657884,0.348,0.001471491,0.003678727,0.002781508,-1,-0.012034735,360.026056,-360.026056,360,-0.026056465,-0.000454685,-1.79E-05,1.88E-06,-4.50724008,-0.382713245,-0.04590834,2.00616184,0.002,1,0.098224,1.57027,-961.9382992,-4.400963144,-18.55516331,2.60747928,0.019012886,0.471437,0.000377345,0.471437,0.000377345,0.0491912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60748,0.0190129,-961.938,-34.689,4215.39,-0.0107118,-825,-1.5,1.29953,29.9154,-6.67E-06,45.00000069,-95.16383886,20925654.77
0.091663,0.0525,7.4812,0.0234,0.5959,119.5016089,0.632121443,-0.049575447,7.481164042,-0.026297642,0.005795454,68816.74207,2.208421331,1078.990147,-0.030263203,-0.002524419,2.208212522,-0.030263203,-0.002524419,2.208212522,1074.748472,-95.56657635,-1.577245965,0.136670253,1.539721139,-1.577245965,-0.022254817,-0.002465546,2.208307818,-0.088351023,-6.80E-05,-8.990602827,101.7600309,8.99096935,3.30E-05,0.034860471,6.543811308,0.047911897,-1804.353017,15.53478066,0.047944934,-1804.318156,0.109628915,-44.38284852,-0.306037559,-9.47E-06,-54.93933331,3662.029469,-0.102007672,-54.82971386,3617.646621,-0.408045231,518.6540211,2115.876697,4.489486676,4.489486676,-0.00152132,0.207786999,359.9993828,90.78518043,-0.065494099,-1331661.643,0.000382975,4.489486676,6.28617453,0.999469389,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995532,0.002989223,0.063771741,0.997964511,1.50399205,0.997960052,0.000190628,1,1,0.523,2.66E-05,0.000878028,0.348,0.001795032,0.004487581,0.00354716,-1,-0.015176883,360.025901,-360.025901,360,-0.02590081,-0.000451969,-1.97E-05,6.86E-06,-4.48948668,-0.416866657,-0.050005284,2.15830253,0.002,1,0.11196,1.63557,-1019.314106,1.846167949,-18.72806927,3.696841063,0.027066637,0.558021,-0.000174183,0.558021,-0.000174183,-0.0132784,1,0.0033825,2.34668,-393.7353007,-11.01923225,-7.234282192,1.427894426,0.010376366,0.553735,0.00201556,0.553735,0.00201556,0.211702,1,0.0031602,2.33899,-391.3036103,-4.911774228,-7.189603612,1.419075819,0.010468894,0.557178,0.00201576,0.557178,0.00201576,0.210519,6.54381,0.0479119,-1804.35,-54.9393,3662.03,-0.102008,-825,-1.5,1.29953,29.9154,-9.47E-06,45.00000069,-95.16383886,20925654.75
0.099996,0.0476,8.4770,0.0181,2.9569,110.0846837,0.701978511,-0.04461284,8.476970916,-0.0210334,0.005893687,69397.52461,2.227058405,1078.988065,-0.038045164,-0.004661469,2.226728537,-0.038045164,-0.004661469,2.226728537,1074.747264,-95.55637762,-1.594122735,0.135404898,1.549266717,-1.594122735,-0.027546677,-0.004584906,2.226883315,-0.089993151,0.000369271,-9.568641525,106.3263305,9.568782543,0.000557635,0.073483809,9.570349311,0.069441169,-2029.882715,19.13913185,0.069998804,-2029.809231,0.109204763,-52.21864949,-0.33236096,-1.50E-05,-62.18338336,3420.313241,-0.176170843,-62.07419356,3368.094592,-0.508531803,518.6540888,2115.878152,4.470457092,4.470457092,-0.001959973,0.270127525,359.9991862,90.97884192,-0.119926222,-1331652.687,0.000417791,4.470457092,6.2861711,0.999470077,1.66092232,1.50698128,0.53182123,34559483.8,7.78998128,1.50698128,86.3500274,1.50698128,0.999995543,0.002985793,0.063771741,0.997964511,1.50399548,0.997960062,0.000190409,1,1,0.523,3.42E-05,0.001118114,0.348,0.001948561,0.004871402,0.004213219,-1,-0.017329131,360.025704,-360.025704,360,-0.025704277,-0.00044854,-2.15E-05,1.27E-05,-4.47045709,-0.45058403,-0.05404994,2.17283338,0.002,1,0.12622,1.57721,-1015.791787,5.770927569,-17.55810374,4.789315576,0.034749944,0.626431,-0.00231179,0.626431,-0.00231179,-0.204075,1,0.023563,2.38211,-508.3764478,-3.334066342,-8.787489935,2.396791924,0.017289677,0.621309,-0.000622627,0.621309,-0.000622627,-0.04905,1,0.023276,2.37514,-505.7144805,-3.296632373,-8.741476766,2.384241811,0.017401548,0.623996,-0.000622389,0.623996,-0.000622389,-0.048759,9.57035,0.0694412,-2029.88,-62.1834,3420.31,-0.176171,-825,-1.5,1.29953,29.9154,-1.50E-05,45.00000069,-95.16383886,20925654.73
